sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	LocationinhostName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
	Wahlia pulchella	RO:0002444	parasite of		Stichopus californicus	Anterior part of investine	GEONAMES:4030875	NE Pacific (coast of Washington)	30	-170		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Wahlia stichopi	RO:0002444	parasite of		Stichopus chloronotus	Anterior to midpart of digestive tract	GEONAMES:2164628	Great Barrier Reef (Australia)	-17.98722	146.76979		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Wahlia stichopi	RO:0002444	parasite of		Stichopus horrens	Anterior to midpart of digestive tract	GEONAMES:2164628	Great Barrier Reef (Australia)	-17.98722	146.76979		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Wahlia stichopi	RO:0002444	parasite of		Thelonota ananas	Anterior to midpart of digestive tract	GEONAMES:2164628	Great Barrier Reef (Australia)	-17.98722	146.76979		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Zoogonus mirus	RO:0002444	parasite of		Arbacia lixula	In muscles of Aristotle's lantern	GEONAMES:363196	Mediterranean Sea (Banyuls)	35	20		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Zoogonus mirus	RO:0002444	parasite of		Sphaerechinus granularis	In muscles of Aristotle's lantern	GEONAMES:363196	Mediterranean Sea (Banyuls)	35	20		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Zoogonus mirus	RO:0002444	parasite of		Paracentrotus lividus	In muscles of Aristotle's lantern	GEONAMES:363196	Mediterranean Sea (Banyuls)	35	20		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Zoogonus mirus	RO:0002444	parasite of		Arbacia lixula	In muscles of Aristotle's lantern	GEONAMES:363196	Mediterranean Sea (Marseille)	35	20		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Zoogonus mirus	RO:0002444	parasite of		Paracentrotus lividus	In muscles of Aristotle's lantern	GEONAMES:363196	Mediterranean Sea (Marseille)	35	20		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Zoogonus mirus	RO:0002444	parasite of		Sphaerechinus granularis	In muscles of Aristotle's lantern	GEONAMES:363196	Mediterranean Sea (Marseille)	35	20		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
